State, DNSP, Count, Summer, Autumn, Winter, Spring, Annual
ACT, EvoEnergy, 203, 1258, 1550, 2168, 1431, 6407
NSW, Ausgrid, 1245, 1360, 1283, 1679, 1207, 5529
NSW, Endeavour, 534, 1512, 1403, 1726, 1340, 5981
NSW, Essential, 416, 1291, 1307, 1639, 1240, 5477
QLD, Energex, 1062, 1513, 1380, 1324, 1264, 5481
QLD, Ergon, 359, 1562, 1408, 1328, 1290, 5588
SA, SAPN, 610, 1181, 1190, 1465, 1114, 4950
TAS, TasNetworks, 342, 1536, 2049, 2915, 2119, 8619
VIC, Ausnet, 426, 1200, 1149, 1572, 1102, 5023
VIC, Citipower, 235, 983, 999, 1394, 974, 4350
VIC, Jemena, 174, 951, 987, 1383, 958, 4279
VIC, Powercor, 357, 1134, 1124, 1531, 1090, 4879
VIC, United, 502, 1065, 1062, 1387, 1030, 4544